\outl0\strokewidth0 \strokec2 ,tweet,class,class2
528,@user @user @user yes u uneducated spic,0,1
558,soros owned company used american tax dollars build app help illegal aliens evade authorities. @url,0,1
568,so. jonathan chait retarded? @url,0,1
573,@user hurry faggot wanna see,0,1
577,@user support crackdown illegal immigrants... numerous reasons.... wall? wont stop anyt @url,0,1
580,white says wassup nigger made video calling nigger. @url,0,1
585,@user see faggot floor,0,1
592,@user let's kid ourselves. nonwhite country 99% chance third world shithole one vote.,0,1
593,@user yeah dodge wager course shitter gig retard go get bruises dad,0,1
599,@user love mindset label people 'bloke hating feminazis'.,0,1
613,i'm sick seeing face news feed cunt.,0,1
624,charlie sloth mongy cunt,0,1
650,literally heard co worker cuss boyfriend phone calling retard fat fuck like tak @url,0,1
655,bitches say crazy really retarded,0,1
658,africa ya know place shithole countries located @url,0,1
675,@user soulless fucking twat.,0,1
679,la faute aux migrants!,0,1
686,literally got ding dong ditched likely 12 year old faggot thats cracking right jake paul apparel,0,1
703,yeah leave alone faggot!!!!!! @url,0,1
714,thoughts allen _ baby boy!!!!! he's cool better sa guitar pero sa vocals hinde mongoloid siya. h @url,0,1
718,lynching! wait. ok lynching deep state feminazi conspiracy! yeah that's it.,0,1
748,@user u take aggression lady behind me? giant twat,0,1
761,sort thing happens shithole country. @url,0,1
775,piers morgan fucking faggotnwe know thisnjust point n laugh,0,1
779,baby told beautiful bare face nigger twist @url,0,1
780,@user darlin yo yes spic inglish,0,1
788,@user exo said fuck nigger lives left,0,1
804,@user better faggot,0,1
832,@user said chinaman,0,1
856,@user literally 5 minutes vote twat farage said good morning britain 350million thing lie.,0,1
863,@user @user @user answer question home u spic,0,1
870,@user dont mean like liver dysfunction yellownlike chinaman yellow,0,1
871,@user lol speak hazara(mongol) people nothing ethnic afghans (nor genetical @url,0,1
881,@user @user @user @user @user us shithole world ignorant people ar @url,0,1
884,@user coats. go back come from.,0,1
885,neophyte nigger: nonsupervisory yet roving,0,1
899,awe.. retarded @url,0,1
925,unrestricted immigration people coming soon turn country shithole left @url,0,1
926,use word retarded derogatory sense piece shit lol,0,1
939,fucking cunt,0,1
943,@user @user dirty raghead.,0,1
950,thinking put nigger @url,0,1
954,take away passport plus want see get plane shithole country @url,0,1
969,retarded looking disturbed lunatic.nthrow ocean brick tied ankle. nnfood fis @url,0,1
983,@user support sanctuary cities criminal illegal aliens credibility governor ameri @url,0,1
995,@user could care less little feminazi. screwed way top long trail discontent. @url,0,1
1025,@user @user fast. 2hrs ago replied tweet saying negro moment arrive. @url,0,1
1055,@user shame absolute faggot,0,1
1064,shit country great want wave flag go back shithole leave us al @url,0,1
1077,@user @user back v fox let's debate u call foulest shithole world n btw @url,0,1
1079,@user good luck semi day ya hibs cunt,0,1
1081,u r ugly retarded u stupid piece shit. flaming faggot. kill ur self @url,0,1
1089,breaking news: dyke drought increases rapidly day goes suspicious entity read @url,0,1
1090,feed twat lions. @url,0,1
1095,@user bra crush girl named london crush another kid (he's retard) lol @url,0,1
1102,@user @user get mentions stinky dyke,0,1
1114,got first set grillz put em bottom faggot.,0,1
1124,public dinosaurs private dinosaurs. faggot.,0,1
1126,@user bro beeps boops cunt go oil ya robot fag,0,1
1136,good jewish lawyer n money do....this nigga still retarded n dumpy hoe @url,0,1
1147,still surprised retard became president @url,0,1
1149,@user one gay retard,0,1
1172,@user laughed retarded man is.,0,1
1180,@user ninjashyper aka toxic man says dont like seeing ching chong bing bong chat,0,1
1243,@user ion faggot likin yo tweet maybe suck yo dick,0,1
1251,fuck zombie apocalypse never gonna happen! ni'm worried 'thick cunt' apocalypse already upon us!,0,1
1254,@user look feminazi. dont believe listening single word pathetic hop @url,0,1
1271,@user @user @user @user @user @user @user @user dream faceless troll..what retard u r .,0,1
1277,@user @user expect anything mongol scum? @url,0,1
1311,okay faggot @url,0,1
1322,shit realized earlier: phrase okay white fisher-price version 14 words,0,1
1355,takes guts stand rights appear retarded.,0,1
1361,@user .... roofe pen either?nnfuck cunt.nnwe enough win game. fact we're takin @url,0,1
1362,fun fact got called chink ching chongd 11th grade barely look asian white town,0,1
1365,socially retarded! @url,0,1
1370,baby called spic @url,0,1
1375,get drunk feel retarded :/,0,1
1385,@user made angry. cunt.,0,1
1392,@user camerroonians celebrities  people surely want shout oh wanna look retarded,0,1
1393,hey american followers country shithole political sense go vote i'm high pain killers,0,1
1399,@user follow back spic,0,1
1405,tory twat @url,0,1
1419,globalistsndrug dealers criminals rapistsnthese animalsnshithole countriesnamerica firstnvery fine @url,0,1
1421,faggot lady never fuck,0,1
1422,@user @user ex6 suck dick can't even good side fucking big retard wonder ldlc suddenly b @url,0,1
1445,@user @user stop tweeting go back country. tourist kenya controlling economy.,0,1
1454,@user answer phone faggot fuck,0,1
1456,listened shit lil spic  singing lyrics know @url,0,1
1459,nigga ga really tell thought dyke twitter profile...,0,1
1462,man's cunt! sorry use word he's dead set cunt! @url,0,1
1468,@user no. accepting integration illegal aliens communities.,0,1
1470,master get knees tributenmaster khaled needs cock worshiped #slave #cuck #faggot @url,0,1
1486,trying help people i'm literally dumbass cunt can't help shit,0,1
1491,yu white nigger,0,1
1492,ive seen people openly racistly mocked bts called ching chong music wanna preach bullying b @url,0,1
1508,@user @user retard special ed class floyd @url,0,1
1509,update: #bucks 6-0 manny machado still twat.,0,1
1532,disruptive thing bitcoin retarded shit bitcointalk.,0,1
1537,@user tipping bar stupid spic,0,1
1543,man fucking retarded needs mental evaluation. i've never seen someone obsessively hateful towards @url,0,1
1544,@user lmaooo cunt,0,1
1562,border trash coming in!!!. go back come from. @url,0,1
1563,@user stick rag round head shut cunt up. still bad enough we've gotta endure shite song twenty years later,0,1
1571,mom called aids infested faggot moved on! @url,0,1
1595,@user fucking raghead cunts,0,1
1596,@user @user @user real women. feminazis. demean men fun ta @url,0,1
1603,@user @user people shithole countries come here? - trump nnhe @url,0,1
1610,2017 right-wing terrorist attacks outpaced leftist islamic terrorist attacks. 2x many ri @url,0,1
1622,@user let retweet fucking mongoloid,0,1
1623,@user i'm trying politically correct possible here. mam fucking retarded,0,1
1629,@user ethnic estonian nationalist follows constitution retard.,0,1
1630,people please stop using word mongo?? yeah sounds funny short mongoloid real @url,0,1
1635,@user faggot,0,1
1649,@user shut negro,0,1
1652,landon romano gayshawnmendes battle title worst faggot,0,1
1670,sigh finally ching chong everywhere tl,0,1
1716,svenskeren fucking retarded. level 4 xin chasing level 6 viktor tower. btw level 4 becaus @url,0,1
1717,bring disease,0,1
1721,@user buncha people shithole countries coming bring economy free healthcare. @url,0,1
1726,@user lmao how? ching chong culture?,0,1
1750,kill cunt!! @url,0,1
1765,@user gonna go steeres mongoloid,0,1
1768,@user thanks win fucking mongoloid learn actually read understand rules stupid fucking scumbag,0,1
1780,@user fuck retard,0,1
1786,@user photo id voter suppression... quite basic standard throughout world... unless usa shithole country?,0,1
1815,dodgers manager absolute retard,0,1
1825,dave roberts retarded motherfucker hope fire dumb ass. dude still thinks plays @url,0,1
1846,@user big sleepy twat ,0,1
1850,@user @user @user cringe still stealing peoples vernacular unoriginal faggot,0,1
1857,whey hey boring old trout mis pouting cunt blocked like telling truth @url,0,1
1858,son little faggot. fuck evan. hate changing disgusting diapers.,0,1
1866,who's retard epic thought monsters good idea,0,1
1867,stream men asked opinion cunt @url,0,1
1873,picture called faggot said homo @url,0,1
1875,he's twat. @url,0,1
1879,worry shithole country quesadilla. @url,0,1
1894,follow back retard @user,0,1
1910,people still using ching chong insult asians lmfao y'all look stupid,0,1
1917,i'm proud member retard gang,0,1
1919,@user yeah faggot!,0,1
1926,@user be. because: i'm faggot. like dick. hard?nyou dancing around sa @url,0,1
1931,old outdated say retarded gop mentality paranoid ideas brainwashed citizens americans visce @url,0,1
1946,bitch cunt ever date someone talks like that.,0,1
1947,lexi u must drugs ur behaving like faggot @url,0,1
1948,fuckin gimme scouse fucks todaywagner licks flopps assnatzi bunch wankers !i want mongy @url,0,1
1964,fucking hell monsters boro fan tv frightening. deffo something water inbred smoggy mongy wankers,0,1
1969,@user who's cleamson retard?,0,1
1984,way think trump would retarded work putin lol,0,1
1997,officials created sanctuary cities illegal aliens held responsible criminal @url,0,1
2006,@user @user @user @user @user oh fuck pompous cunt. neil portilo @url,0,1
2012,@user @user yeah like cut funding illegal immigrants &amp; anchor babies.,0,1
2019,i've never seen monster squad... first 10 minutes i've heard homo twice faggot twice. jesus christ w @url,0,1
2030,peel ass back monkey style faggot,0,1
2046,whoop ass even remake faggot whis @url,0,1
2057,illegal immigrants going destroy america. saddest thing really.,0,1
2074,@user @user listen asiactic mongol eastern euro trash wouldnnever say fa @url,0,1
2083,@user what's disgusting per usual 90% males age. fight shithole countries shit holes.,0,1
2120,foreign cunt apparently really can't speak british streets. .... spoke parliament ne @url,0,1
2141,@user like make known n shit.. i'm better playing spic pot head who's getting ,0,1
2146,spineless twat @url,0,1
2147,@user @user 1 faggot,0,1
2150,@user amaze ching chong we'll finish e-bingo faster,0,1
2157,@user @user @user toddlers illegal aliens whose parents broke law...dummy. left white guy,0,1
2172,@user @user get country raghead,0,1
2173,@user he's working turning us military state shithole country. soon he'll military ou @url,0,1
2177,@user @user @user @user 1st world #shithole...this happens #democratnaziparty @url,0,1
2186,@user didnt want vc ur antics mongoloid,0,1
2189,honesty though imagine image. faggot. dumb ass cuck talking girl. least @url,0,1
2190,@user @user @user @user ehh faggot one cares you.,0,1
2199,fuck okacamera fuck retarded,0,1
2213,i'm good faggot,0,1
2215,can't eu tighten immigration laws...prevent immigration shithole countries like usa whilst ha @url,0,1
2221,first class mongy cunt think back decisions i've made past,0,1
2232,@user @user come change america shithole country fleeing from? may @url,0,1
2250,want bit belly y'all argue end calling fat cunt. @url,0,1
2259,@user nnhe'll picking fucking jaw floor cunt ,0,1
2267,man argued twat wearing scouter. twitter funny like innit?,0,1
2288,f-you dipshit. atleast apologizes. isnt enough low self esteem cunt like younnagain. i'm sorry cat. @url,0,1
2320,@user &gt;stella outta cannyou mongoloid,0,1
2333,@user venmo wolffis $10 sucking dick faggot @user #2birds1stone,0,1
2335,@user going blind twat roofe get chest leg used h @url,0,1
2340,fuck off! hear me! brave enough say face stop hiding behind phone. know faggot ,0,1
2341,good job nbc! sterling performance country's shithole media. @url @url,0,1
2345,kemar roofe ugly fucking cunt never heard much shit game twat #nffc,0,1
2351,see ian brown handed arse plate @user . nnas ya plastic manc twat.,0,1
2355,@user @user absolutely! belong originated raghead arab middle eastern natio @url,0,1
2358,mdr macron demolit la franceaccepte le terrorismeles migrantsnon se serra pas lui qui protegera la france et le @url,0,1
2361,@user @user @user look scoreboard goddamn retard.  know probably make past 8th grade math.,0,1
2366,can't believe live terrorist country headed shithole list due environmental policies @url,0,1
2378,@user tf spells whelp?? welp mongoloid,0,1
2387,@user @user thank u spic,0,1
2389,awful man faggot homophobe @url,0,1
2398,@user know related @user retarded steven. stay wall bruh!!,0,1
2411,come fuck nfl fuck usa looking great right hand knock @user retard-iment @url,0,1
2438,@user rosie o'donnell: ching chong ping pong wing wong... cool- chinese friends. cool. &lt;-- @url,0,1
2481,maybe rebuild shithole countries marcus garvey told to.nnrepatriate ! @url,0,1
2487,know sucks white lol yall made word nigger/nigga &amp; yall cant even say,0,1
2488,dont want white people using word nigger maybe stop using time yourself???,0,1
2503,touch scarf! that's paul smith twat!,0,1
2505,white people like learn english go back country cant tell difference @url,0,1
2511,@user dick van dyke yes thought,0,1
2514,sos nearly called woman cunt driving mum car say i'm still shaking rage cunt,0,1
2517,lol...got negro ass right outta @url,0,1
2529,trump follower :nni'm shit'n one damn bit forest trump get'n rid kastogie raghead reporter @url,0,1
2538,@user @user losing teeth today cunt  address everywhere  ,0,1
2573,fuck twat.... @url,0,1
2580,faggot next gym sox fan everyone looking like he's retarded,0,1
2584,imagine president without simple academic qualifications... see country shithole.. lies,0,1
2596,@user n according studies n huge cunt,0,1
2611,@user @user they're parasites came shithole countries need stay shithole countries,0,1
2623,@user yes mental retard.,0,1
2639,@user @user trump jr ends jail hunted instead defenseless animals africa.,0,1
2665,jose masterclass good performance thing would've topped jose ddting fucking mongy c @url,0,1
2672,brexit..... cunt tricking us come back strap vests probably kids blow us up. f @url,0,1
2690,went back home 20 yearsnwas dream live country retarded ignorant inbred monkeys @url,0,1
2716,hey man full offense fucking shabbat like double gun zone fucking twat @url,0,1
2726,u look like dyke @url,0,1
2766,@user look like said faggot shit like dat,0,1
2778,@user @user shut faggot,0,1
2781,@user man hater feminazi,0,1
2797,@user cheating cunt,0,1
2809,@user boy child slave looking ass unfunny spic ass beaner ass ass titty sucking unfunny gook ass @url,0,1
2825,@user oh hell no! i'm saving dollars help build wall protect us rapey killer illegal aliens!,0,1
2830,@user nigger,0,1
2834,sometimes talk right blessing. thats negro blocked @url,0,1
2857,@user @user shut fuck stupid bitch ass retard,0,1
2869,need friends someone epic join stupid cunt what's ur fucking problem shit cunt @user,0,1
2873,@user @user thankful live europe uk demonstration go back country,0,1
2890,@user @user spic idiot,0,1
2911,dirty jew,0,1
2914,@user already know! dumb ass fighting negro,0,1
2926,@user @user @user mad ching chong. know chinese dirty cheaters need defend team.,0,1
2952,@user twat make sure add beans degenerate,0,1
2958,gonna put hand ass? faggot.,0,1
2963,he's well zealot left found criminal leftist yes domestic @url,0,1
2985,guy's fucking retard lmfao @url,0,1
2993,@user dirty jew house sell it--,0,1
3011,@user loom bands arent faggot culture,0,1
3013,anon faggot #greentext @url,0,1
3015,@user hahahahahaha wake miggs ya fucking retard,0,1
3062,@user #twt2018 lgbtq people seeking asylum uk told go back country - pretend @url,0,1
3063,swear whenever go class vandy see black people theyre thinking nigger here??,0,1
3069,@user concha spic ,0,1
3070,@user asians ching chong eyes,0,1
3077,shut nigger @url,0,1
3087,@user drunk retard high retard win battle btw,0,1
3108,@user call spic gonna lie,0,1
3112,@user full offense im deadass heterosexual i've never heard faggot life,0,1
3119,mom bought faggot,0,1
3124,wouldnt expect different far left hypocritical feminazi twit. get professional help asap thin @url,0,1
3133,casuallyfantastic2001: realisticrecovery: anyway abusive women bad abusive men. shameful... @url,0,1
3134,@user kana ne ole le nigger,0,1
3136,fucking hope chinks get raped fucking faggot exist 1-2 years _ chink' @url,0,1
3145,yakuza taught hate old men i'm gonna kick shit next old fucker see he's probably cunt,0,1
3167,@user @user @user @user deport raghead,0,1
3169,@user tell called spic,0,1
3183,@user shut fuck fuckin' furry faggot.,0,1
3214,@user nigger,0,1
3223,robert bowers muslim mexican media leftist woman refugee?nwaiting..............................,0,1
3227, trump definitely retarded,0,1
3234,hahaha justin retarded hobbitni mean thinking it... n#theendless #frightclub,0,1
3247,encourage y'all work yourselves. cause guy retarded bad things anytime wishes.,0,1
3290,@user mom wont say spic say nigga love problematic afrolatinx queen,0,1
3302,retarded honor @url,0,1
3312,retarded. know make people stupid. might want kill drop collec @url,0,1
3316,@user hes literal twat hey? tried justify twitter toonthis guy went twitchcon @url,0,1
3322,@user die retard,0,1
3324,there's fucking stupid little brat village drives around like twat dangerously pulls parking @url,0,1
3348,@user deleting past posts since 2001 use term raghead towel head camel fucker @url,0,1
3373,also joo - saying (it's okay white) promotes --&gt;white&lt;-- supremacy.,0,1
3379,lmfao deserve. youre supposed man. toughen nigger. @url,0,1
3388,nowthe people shithole #muslim countries problem #us fine people @url,0,1
3395,@user shausha mongol,0,1
3405,expect expired country like nigeria shithole fantastically corrupt one indeed. biafra natio @url,0,1
3421,@user put nigger @url,0,1
3428,@user faggot still @url,0,1
3435,senator ching chong asking dumb questions get next-ed?,0,1
3436,ggs @user talk shit lose retard,0,1
3450,fukem retard,0,1
3454,@user fucking retard lmao,0,1
3470,want shithole country,0,1
3477,@user well call faggot back?,0,1
3499,@user @user banturds worst mass murderers ever. retarded know whit @url,0,1
3502,fucking bad cheeesus.. self righteous cunt. @url,0,1
3503,@user twat really say this? sadly almost sounds like might believably words? surel @url,0,1
3513,@user @user susan ask?? go back come ok  nand forget buy stream mono,0,1
3523,peter:nmichelle: shut fucking faggot loser. musty bitch. go die hole,0,1
3532,#maga assholes turned america shithole country...,0,1
3535,@user john flower faggot weighs 700 pounds lives college dorm refrigerator,0,1
3541,trump fucking mongoloid saying protection fucking synagogue??nngo take fa @url,0,1
3564,@user faggot cunt,0,1
3575,attention: shithole countries coming nice,0,1
3588,dear ching chong ling longs expect react go rich ma?,0,1
3591,bro got called early theres delivery lol run fat sweaty balls bosses stinky stink face faggot,0,1
3599,get aids test thompson cus' wife's dude faggot! - mr. garrison #southpark,0,1
3632,@user god look like faggot.,0,1
3639,@user @user fact guys bio reads shithole countries shows small @url,0,1
3647,@user @user @user @user ching chong eat dog,0,1
3670,@user ching chong ploy asian market?,0,1
3682,use violence spread ideology fucking retard. lost argument ha @url,0,1
3686,@user ..knuckles dirty ass nigger.,0,1
3704,@user they're gonna tell shut spic,0,1
3709,@user u look like retard,0,1
3739,@user @user record muslims immigrants shithole countries otherwise w @url,0,1
3744,call illegal aliens undocumented immigrants!! @url,0,1
3746,jesus goddamn whore christ. jesus goddamn cunt christ. jesus goddamn whore christ. jesus goddamn cunt christ. jesus @url,0,1
3758,@user ahaha guy types much well another fat retard banned cya,0,1
3780,literally @user asian representation queen!! got ching chong cho chang demonised cry baby bitch @url,0,1
3783,jamie oliver twat jamie oliver twat jamie oliver twat jamie oliver twat jamie oliver twat @url,0,1
3834,violence?you got mad year ago saying shithole countries. make minds. fleei @url,0,1
3837,@user disease ridden illiterate pigs. want turning us shithole like countries @url,0,1
3842,i'm complicated twat hate,0,1
3868,faggot @url,0,1
3869,man arrested connection #suspiciouspackages not:nnan immigrantnmuslimna leftistnlatinonms 1 @url,0,1
3877,@user guys gotta clean up. gonna rot bring disease.,0,1
3886,me: ill know im half nigger cracker bitch,0,1
3896,call faggot tranny want cameron kai we're trans gay @url,0,1
3900,@user i'm getting homosexual blind retarded old man also pathet @url,0,1
3911,@user next job cut welfare illegal aliens.,0,1
3914,@user gee criticism armed guards church talk #shithole countries? #murica @url,0,1
3915,examples verbal abuse took last night:nnyou fucking freak show faggot!nnyou're ugly - face g @url,0,1
3949,go follow retard @url,0,1
3950,can't believe travel shithole fucking country next week,0,1
3954,@user i've literally seen video fucking retard. closed laugh moved,0,1
3982,@user he's mega faggot,0,1
4002,@user ain't fat retarded... xd,0,1
4014,dad: ching chon wong wong ching chong chong,0,1
4032,i'll take rise body pillow exchangenngo hell u fuckin faggot,0,1
4039,@user @user senseless unthoughtful cunt. father husband son may died care @url,0,1
4043,@user top head condemn charlottesville shithole countries said obama born @url,0,1
4047,someone get faggot @url,0,1
4050,@user @user get it? turned country shithole. let us @url,0,1
4052,@user i'd rather kevin feige call faggot face even thought,0,1
4070,@user @user @user say who? shes shit 5 shes retarded,0,1
4092,: must retarded think we're fuckingnnme : @url,0,1
4096,two faced corrupt lier! lock charge traitor usa! rope! he's hussein raghead @url,0,1
4098,tf put jansen 8th ! retarded something. doc roberts stupidity strikes,0,1
4100,@user @user bloody psychopath give resign go back country (pakistan),0,1
4101,ching chong ching chong,0,1
4105,fuck that. feminazis outraged ...bring say! @url,0,1
4106,@user @user @user @user @user guess raghead.....trump president ,0,1
4113,@user @user @user congress representing illegal immigrants...who fighting stop invasion americans?,0,1
4121,@user faggot cap ,0,1
4123,leftist/marxist/dems went terrorist illegal aliens reduce tax burden americans bad trade deals exce @url,0,1
4148,@user brother faggot ass coward,0,1
4161,@user guys legit retarded they'll diamond still go chasing dirt pile.,0,1
4187,@user @user @user armo spic lmao fuck i'm done ,0,1
4210,@user blind retarded loser,0,1
4213,best tweet time! fuck spic countries! @url,0,1
4227,@user ok faggot,0,1
4242,@user alrighty fine. i'll argue way arguing. hey listen shitface. retard know @url,0,1
4258,@user actually fucked even fanbase begin retarded?,0,1
4269,@user can't say acting mature call 'sad retard' nnyou'll learn one day boss ahaha,0,1
4271,@user fuck faggot @url,0,1
4296,brain morning: potato potato ching chong tomato,0,1
4305,@user abysmal.n hope finds way one trump'sshithole countries. oopps forgot loves saudi.,0,1
4316,oh shut fuck retard @url,0,1
4318,man walking twat @url,0,1
4322,group high school boys drove past slowed front passenger yell ching chong me; wh @url,0,1
4326,@user yo whats faggot pedo fuck,0,1
4329,@user chinese ching chong carried korean always,0,1
4345,mongy commentator still bitter pontus janssons last minute winner 2 year ago,0,1
4358,retarded fuck! @user @url,0,1
4364,@user funny anywhere stfu retard,0,1
4368,nigger faggot,0,1
4376,@user @user think there's 1 leftist terrorist.nyou're data scientists better.,0,1
4380,boys think cool act soft like mate look like faggot,0,1
4386,@user oh stfu weak-chinned turtle-faced hypocritical skunk twat!,0,1
4394,father dinosaur. mother gave raise ungrateful faggot.,0,1
4397,kimbrel one retarded arm thing looking like half robot pose pop lockin contest?,0,1
4422,trump: ... african-americans come shithole countries mexicans rapists murderers good @url,0,1
4447,leftists stop sending gifs movie reference dont get twat shrugging shoulders. @url,0,1
4467,betsy devos hinders shithole countries!,0,1
4471,@user nah b dont fuck ching chong ling long phones,0,1
4473,@user think take sampling huffpo vox feminazi commenters claim holding door @url,0,1
4487,maddenbishop biggest faggot ever,0,1
4502,@user @user dumb? i'm connor fucking retard ,0,1
4504,@user @user @user stupid twat can't see invasion country @url,0,1
4517,retard @url,0,1
4521,palestinian terrorist leftist mean liberal terrorist? @url,0,1
4524,@user extri spic,0,1
4532,jack retard. can't even get logistics app together,0,1
4557,terrorist leftist,0,1
4572,@user ever said denies that? fucking retard dude. go ahead kill someone @url,0,1
4579,white friends said wetback spics crazy hope one heard that...cause gon trooouuuble (drake voice),0,1
4582,@user admits went far faggot line (even though agree never @url,0,1
4583,suck dick gundy. mullet faggot bitch,0,1
4585,yup. got it. wont fleeing shithole countries ruled evil people nope it'll trump evil. trump w @url,0,1
4590,@user well yeah faggot,0,1
4593,whats hatnen ya chinaman lukaine wit kicking flava pimp shit,0,1
4595,@user you:n- lead chants 'lock up'n- demonize refugees 'shithole countries'n- mock @url,0,1
4602,@user predicted joke even made it. get good material fucking mongoloid,0,1
4610,listen bigheaded headass dusty lookin lil fuckin cuckass libtard piece shit eating mongoloid troglodyte bitch,0,1
4650,can't buy class!! know clubs dick head fans twat top lists #havesomerespect @url,0,1
4657,people actually voted twat. @url,0,1
4674,@user 100% looks like would tell go back country @url,0,1
4685,easy solution: send illegal aliens mazie hirono's house. @url,0,1
4686,i've always thought people like either mentally retarded insane known enough.,0,1
4692,@user @user he's progressive/neo-marxist. radical leftist wants open borders &amp; mass-migratio @url,0,1
4699,@user know shit think rvn class mongoloid fuck,0,1
4710,@user @user well western nations stopped helping shithole countries people would starve death. problem solved.,0,1
4717,@user @user recommend 1. stop getting involved #shithole countries wars 2. bring back us troops fr @url,0,1
4726,twat wasted time. good work ethic get job let alone try supervisor wtf,0,1
4761,keep mind im negro,0,1
4762,@user hahahahaha match maker??? learn make sentence retard hell yeah i'm bitch scar @url,0,1
4786,@user wait im racist shut nigger,0,1
4794,let get cunt banned @url,0,1
4797,@user conveniently forget shithole countries  bad hombres on? man jekyl @url,0,1
4801,@user @user shut fuck faggot,0,1
4809,@user thieving twat stole phone im using phone 10 years ago can't @url,0,1
4819,@user nahhh im retard xd,0,1
4826,@user whipped faggot,0,1
4832,@user tristan said reply text nigger,0,1
4857,@user can't honestly asshole you? shithole countries past italy @url,0,1
4861,@user mean mongol hordes?,0,1
4863,fucking cunt!!!!! @url,0,1
4884,whereas aaron straight-up rancid cunt @url,0,1
4890,@user cunt,0,1
4910,retarded dad daughter framed prosecutor whose child accidentally killed cold winter @url,0,1
4930,@user complete cunt,0,1
4947,@user let keep look like retard lmao,0,1
4954,fucking nigger asshole hotrodnigga.,0,1
4964,tots godwin _ hilarious mongoloid @url,0,1
4969,somebody take nigger phone away @url,0,1
4984,hisoka faggot shit hands real @url,0,1
5002,free? why? _ another retarded question @url,0,1
5005,million one fucking laws average joe.nnbut million fucking loopholes silver spoon faggot @url,0,1
5006,@user far faggot@user,0,1
5037,can't even go thanksgiving dinner without worrying someone's gonna call nigger/chink/spic accident @url,0,1
5044,@user can't serious! daddy's fault twat. living lala land. make sick. #fucktrumps,0,1
5051,@user he's even fucking funny mcing subpar i'd rather listen plunger toilet tbqh bland twat,0,1
5052,gavin newsom wants give illegal aliens free healthcare.,0,1
5054,@user cunt @url,0,1
5058,@user @user @user @user @user @user well calls faggot earlier,0,1
5059,@user @user please go back country need live need jobs back,0,1
5060,@user comes mouth either retarded aids.,0,1
5068,lukewarm ass negro,0,1
5093,12 years old told  rape family fucking nigger spic bitch 25 kill @url,0,1
5095,see faggot floor @url,0,1
5101,nigera fucker nigger pooper,0,1
5123,smh women really retarded @url,0,1
5139,@user @user @user nobody asked u faggot,0,1
5172,lmfaooo fuckin ivan whata retard @url,0,1
5174,nigger chip kelly ruined everything @url,0,1
5191,twat better change mind.nn...and stay fuck away!!! @url,0,1
5199,bby faggot stop getting black balled,0,1
