\outl0\strokewidth0 \strokec2 ,tweet,class,class2,rand
7267,@sotoo_dean We were supposed to work together today bitch\,1,1,0.001179012
13459,My pussy taste like pepsi cola.\,1,1,0.001251062
5091,@TheOneMiss_Luu This is true. That bitch has two accounts @PoniesForever7\,1,1,0.001263153
21924,"That's what I tell my hoes when they ain't throwing the neck RT ""@shibermetimbers: Aint nobody got time for that""\",1,1,0.001310236
16987,"RT @NateClark_: &#8220;@VroomDET: I want a blunt, pizza and pussy&#8221;\",1,1,0.001365202
12824,Lmao! You niggas regionally picky about hoes now. Just say anything on Twitter. Makes it's fun tho\,0,1,0.001431064
12936,Lol u mad motherfuckin hoe\,1,1,0.001441685
11642,I'm old school I'll smack a bitch\,1,1,0.001448551
18322,RT @UPTMillz: You can buy milk w/ WIC guys RT @VernieMack: #QTNA RT @Major_K8: How y&#8217;all bitches gon breast feed wit nipple rings? &#128563;&#128534;&#8220;\,1,1,0.001488587
4995,@Tattoo_MyLife cuz the whole team trash\,2,2,0.001491747
25289,you're all niggers\,0,1,0.001599403
3415,@user @user j’en ai prix au bled mais tu peut le trouver au marcher ou bien dans des épiceries arabe/renois,2,2,0.00164664
22023,"The girl skipping school ain't nothing but 16 y/o and just made me say in my head ""bitch u supposed to be in school"" had to catch myself\",1,1,0.001714392
7574,@yooocaly *mormon hoes ;)\,1,1,0.001746354
10662,I got soo many funny pictures from yesterday &#128514;&#128557; bitches was fucced\,1,1,0.001763416
17550,RT @SEMAJ_HOEE_: &#8220;@tiffanyluxride: Damn so many fake niggas &amp; bitches&#8221;\,1,1,0.00177083
4414,"@NoShtickZone Charlie Brown\
A Christmas Story\
Rudolph, but only because of the island of misfit toys.\",2,2,0.001779416
349,"""@jSadass: loud bitches annoy me""\",1,1,0.001847867
8343,Blow up the pussy like Hussein. Bitch look at me crazy like who's sane? @RavenxMiyagi\,1,1,0.001898127
21950,"The DMV system was recently restructured on the narrative outline of Dante's inferno. Only edit, Dante is a fat pissed-off cunt.\",1,1,0.001915614
12423,Just because you have a issue and your attorney is out of town doesn't mean you can be a bitch to me. Next time don't get in trouble\,1,1,0.002073174
15260,RT @DaeDeezyy: ion ask nobody for SHIT . ever . never have a problem doing shit fa people neither but damn can a bitch get a thank you ?\,1,1,0.002089414
6556,@kayysavage @Montea_Rollin I know bitch\,1,1,0.002151918
17780,RT @SpacePlankton: This monkey on my back keeps smearing poop in my hair.\,2,2,0.00216065
22465,This bitch pregnant again &#128064;&#128514;&#128514;\,1,1,0.002169121
15567,"RT @Fly_Boy_Smooth: Man y'all hoes gotta chill with this going natural bullshit, it's only a few who can actually pull it off but the rest &#8230;\",1,1,0.002279648
49,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,1,1,0.002294025
8386,Boy these downlow niccas should be ashamed\,1,1,0.002400648
14227,Porch monkey 4 Life\,0,1,0.002438564
6024,"@dish_answers \
Ok. I guess you ain't colored so so don't know da channels?\",1,1,0.002518943
22908,WATCH-Military Monday Jihadi Bitches Slaying: BADASS - A-10 Silences Taliban During Intense Night Time Firefight... http://t.co/Px9cN8fCW5\,1,1,0.00253887
17400,"RT @RafiDAngelo: ""My pussy tastes like Pumpkin Spice Latte."" -- Lana Del Basic\",1,1,0.002540213
22167,There's someone riding around the Robinson Walmart in a lawn mower. With ghetto headlights added. #reallife\,2,2,0.002543082
16198,RT @JoeBudden: It&#8217;s so unfair that the hoes get to dress up as hoes for Halloween.\,1,1,0.002559667
21235,Shirley Temple was a bad bitch when she was my age as well.\,1,1,0.002626223
22176,These bitches aint playin'. A jealous woman does better research than the FBI.\,1,1,0.002633638
3079,triage des migrants: [@user je parie un triage sur le volet des migrants autorisés et une forte présence policière....],1,1,0.002661887
1116,&#8220;@AdamRotter: Watch: Prust tries to hit Hank during break play http://t.co/fZ6lxcS3ok&#8221; @BrandonPrust8 pussy attempt by a pussy #mtlhockey\,1,1,0.00268618
18954,"RT @allisonnamaya_: @Whitecholo23 omg Nathaniel. No ""come here mr pussy"" ""Mr pussy where are you"" lol\",1,1,0.002741477
10634,I got bitches geekin sneaking cocaina cross the customs &#128131;\,1,1,0.00277292
4283,"@MorganSmith_20 he's a little bitch in general , fug Seattle\",1,1,0.002803843
7682,A tall tee n sum slouch shoes on I could've fucc yo bitch\,1,1,0.002827973
8308,Bitches dont wann fxck me no more bitches wanna fxck all my bitches\,1,1,0.002861722
1597,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation\,1,1,0.002890528
16902,RT @MrLuckyToYou: Eat that pussy from the back and slide two fingers in...\,1,1,0.00292943
2540,@AsapTwelvyy bruh bruh that bitch ain't loyal !\,1,1,0.002939373
18685,"RT @_Fashi0nista: &amp; it's sad cause niggas will have a good girl &amp; do her wrong, it's hard finding a good bitch out here forreal.\",1,1,0.002955509
5089,@TheNudesGod can fucking a fat bitch be considered a threesome ?\,1,1,0.002971718
10118,"Hoes be like ""Hoes be like""..........But they be the hoes that be like\",1,1,0.003010076
5745,@ballzahoy cowboy killers.&#128525;\,2,2,0.003081444
22950,Want to touch tha boootyyyyy....neeeeed to touch the heinie &#127825;\,2,2,0.003083856
858,"#inktober #twentysix #gouache #mt snappy pappy and his bitch 3.5x2.5"" good thing sable paintbrushes&#8230; http://t.co/4gYBEI5Mkl\",1,1,0.003086621
1630,@user mdr ta rien à perdre c’est une sale renoi qui dit d’la merde tant mieux qu’elle bloquer tu mérite pas de voir une tél merde,1,1,0.003262089
22797,"Typically hateful, anti-Christian, mentally ill and ugly dyke trash pig couple Jennifer McCarthy and Melisa Erwin http://t.co/tW9Nl5Hkmt\",0,1,0.003263379
2053,lire. analyse du torchon de #zemmour la vieille alliance entre les féministes et les homosexuels masculins s’est… @url,1,1,0.00327562
23379,Why the fuck are the @Yankees throwing batting practice tonight? Holy shit...\,1,1,0.00330335
3641,@user t’es trop rlou le plus beau de tous les rebeus t’es trop charmant,2,2,0.00330413
11938,If you got a nigga and you another nigga #wcw you a hoe &#128514;&#128514;\,1,1,0.003346839
6369,@ittybittyber playas fuck up too lmao but that's like on trash FORREAL you a crazy one I see &#128064;&#128064;&#128565;\,1,1,0.003349897
3825,@JunDishes or a southern bitch like me who will blow a persons heart out of their back w/one shot!!!!\,1,1,0.003486452
20700,RT @tylerfucks: recent studies have shown that ur a lil bitch\,1,1,0.003556775
16276,RT @KENYA_letmeKNOW: dont no nigga want a broke bitch &#128544;&#128079;&#128514;&#9996;\,1,1,0.003619476
3037,@DannyMndz93 @Titan21Mtzzz he's still a pogue though\,2,2,0.003705272
15407,"RT @DreamVillainous: You bitches you aint shit, I swear you think you poppin cause you instagram famous\",1,1,0.003714896
10593,I fucked the bitch I used to dream about and coulda died when I came from disbelief. Nah I dont wish to speak on her name that shit is weak\,1,1,0.003725864
1885,j’ai fais une attaque de sale arabe la,1,1,0.003751015
3253,@FightNightX @NMF4Life khan has been facing nothing but trash since his L to Garcia\,2,2,0.003777935
17798,"RT @SportsCenter: Peyton Manning's remarkable season:\
&#8226; 5,477 Pass yds (NFL record)\
&#8226; 55 Pass TD (NFL record)\
&#8226; 450 completions\
&#8226; likely ho&#8230;\",2,2,0.003824448
2376,@2LEGIT4that go be cunt somewhere else\,1,1,0.003930646
698,des renois ici au lieu de dire clairement qu’ils sont racistes ils préfèrent dire de la sur les autres nation… @url,1,1,0.003984218
20464,"RT @sisssyhaymaan: If you brush off a guys compliment just because you have a boyfriend, you're a bitch\",1,1,0.004022441
9584,"Fucking faggots @DMVFollowers aren't from or live in DC, Maryland or VA\",0,1,0.004028997
10442,I def got a few shades darker cutting my mama grass. There goes my yellow frame lol\,2,2,0.004031336
4158,"@MarkUdall2014 just got his pussy kicked, he's out, done, @CoryGardner wins, per Fox News.... #Election2014 #tcot #gop #teaparty #p2\",1,1,0.004044031
17545,RT @SAVx: A day later and y'all still gassing Rihanna trash ass nudes.\,1,1,0.004234811
16164,"RT @JennyJohnsonHi5: Just when I thought Justin Bieber couldn't be anymore of a pussy, he gets arrested in Canada for fighting a person who&#8230;\",1,1,0.004256637
1943,qui ici se souvient quand des mecs rebeux et renois étaient jaloux de jérôme jarre parce que les filles disaient qu… @url,1,1,0.004283805
13458,My pussy popz Severely https://t.co/sOAH0Z1jUv\,1,1,0.004326599
22426,This bitch got arrested on her wedding night for ordering $650 worth of food and didnt pay.. Shouldve ate the 2 for 20 at applebees.\,1,1,0.004400966
10678,I gotta get it while da gettin good my nigguh\,1,1,0.004431782
12964,"Look. Call me chubby. Call me a dumb stoner. Say I'm an asshole. Whatever. But we alllll know I can rap bitch, shut the hell up hahaha.\",1,1,0.004556522
24698,love females but hate bitches\,1,1,0.004561688
13776,Not finna play with the bitches lmao\,1,1,0.004568139
20884,"RT @zachthorpe78: where are all the thinkpieces on why kids call themselves ""trash"" and ""garbage"" these days\",2,2,0.004595424
18755,RT @_ThatGirlKhaila: Yo hoe will get slayed &#128514;\,1,1,0.004690695
20810,"RT @xGingerAvenger: To that cunt who said she won't RT ppl who use foul language because it lacks intelligence... bitch, let me introduce y&#8230;\",1,1,0.004788139
18480,"RT @WindPushedGrass: ""This bitch is just dead weight""\
\
- Pallbearers\",1,1,0.00484783
18106,RT @ThePoke: This crow in Aberdeen just won at photobombing (pic by Steve Black] - via @DailyMirror http://t.co/qDcLxyjOCt\,2,2,0.004849114
3521,@Huntermoore only a ratchet bitch would\,1,1,0.004874242
14967,"RT @CauseWereGuys: It's bros before hoes, not bros before your girlfriend. If you find a good girl, she needs to be put above everything. T&#8230;\",1,1,0.004882503
1924,&#8220;@royalriahh: Fake bitches I don't want your hugs&#8221;\,1,1,0.004902611
13061,Man there's a lot of fat bitches here\,1,1,0.005015181
18725,RT @_MindAtEase: Fuck twerking bitch can you cook\,1,1,0.005026974
12931,Lol stop fuckin wit dem birds. RT @Drako_713 Fuck y'all hoes all y'all do is lie\,1,1,0.005041787
11292,I wanna apologize for being such a bitch the other day.. But the way my emotions are set up..\,1,1,0.005051211
5270,@Walken4GOP your not so godly after all u fuckin redneck peckerwood.\,1,1,0.00517865
1699,&#8220;@__austinnn: @Satisfied_x &#128175; what u did Mr bitches&#8221; &#128514; stop calling me that but I balled\,1,1,0.005188387
1314,&#8220;@GreatScottnyc: Can't a bitch living say I brought her MICHAEL Kors&#8221; we need more guys like you &#128588;\,1,1,0.005190731
24209,chill bitch http://t.co/baxiffkD9w\,1,1,0.0052282
7716,After 27 weeks straight of that nigga being you MCM we get it bitch y'all fucking &#128514;&#128514;&#128514;&#128514;\,1,1,0.005236065
3533,@user mdrr tg toi avec ta gueule d’attardé tu crois que t’es mieux,1,1,0.005282091
21194,She make me wanna take things slow but I can't even trust a hoe\,1,1,0.005325785
12363,Jhene Aiko ain't shit but a spiteful side hoe she ain't even fine\,1,1,0.005333453
6248,@hayyllss Merry Christmas Hun ! &#127877;&#127876;&#10084;&#65039;\,2,2,0.005346521
4765,"@SaltyBlackBroad ma'am ...Did you clear that tweet with the @NAACP ? Careful they may brand you ""race traitor"" for the nerve of thinking&#9786;&#65039;\",2,2,0.005357389
1829,&#8220;@iank12: Half tempted to go outside and run my phone over with my car because it's such a piece of shit. #FuckiPhones&#8221; do it pussy\,1,1,0.005364055
20546,RT @taylormrake: People beg to see women's bodies but the minute they're seen that woman is now a hoe oh okay\,1,1,0.005364379
15615,RT @FriendlyAssh0le: i dont give a fuck what my ex is doing... bitch isn't my problem anymore\,1,1,0.005368617
14551,RT @AnunnakiGod: bitch what ocean is this?? http://t.co/YLkR2GeJ1Z\,1,1,0.005431917
11699,"I'm surprised I'm still at school tbh, I can be quite the retard at times. I'm either exceptional at a subject or absolute shiteee.\",1,1,0.00545588
465,@user oh je sens autant démunie que toi. colères cris violence refus de grandir (sur tellement de poin… @url,2,2,0.005473483
24052,"all these beautiful bitches, sucha beautiful thing\",1,1,0.005529439
24462,https://t.co/jtLZErgxI0 Leo get the fuck off of vine you fag\,0,1,0.005535344
20512,RT @stephanielazox: Hope you got what you wanted bitch.\,1,1,0.00556428
576,cnew : mecary culpabilise une fois de plus. la délinquance ce n'est quand même pas de faute! elle fait chier cette gauchiste. #cnews,2,2,0.005569548
9385,Flappy bird is gonna be the death of me\,2,2,0.005579057
23467,"Worst shit ever.... mayo already trash, and to mix that trash shit wit the gawd condiment that is ketchup is ultimate trash\",1,1,0.005610923
1150,le nouvel eldorado des rebeus c plus le trading mtn c'est l'aéroport,0,1,0.005622376
2693,au travers des différentes parties le manga s'attarde sur certains thèmes comme l'amour l'amitié l'aventure le d… @url,1,1,0.005685204
3901,@user mongol dmais,1,1,0.005925091
155,bon les renois vous êtes retourné chez h&amp;m depuis votre cinéma là ?,1,1,0.005951077
21424,So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night\,0,1,0.00598068
10240,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.\
\
I miss my ""baby bird""! Come home, 18!\
@somehoee\",2,2,0.005980987
3807,@user @user tout comme le terrorisme car l'islam est une religion qui prône la paix. le prophète sallah… @url,2,2,0.005998288
25015,the bird with the aim of dreams https://t.co/jkX6dsqXcq\,2,2,0.006087556
3312,@user sinon il les blédars rebeus ; c'est un pléonasme. c'est pareil,1,1,0.006098568
19758,RT @jay_gee24: Damn it wigga &#128514;&#128514;&#128514;&#128514;\,1,1,0.006215073
16632,RT @LoganWarner12: These hoes ain't loyal\,1,1,0.006261564
7841,"All them hoes crazy RT @Mr_NiceeeGuy: Thick thighs, &#128166; skinny waist, &#128591; and natural beauty face &#128149;\",1,1,0.00627886
7898,Already more yellows than the last 2 years combined #IndyCar #Honda200\,0,1,0.006351696
5302,@Wimp_W_Diesel real shit bro yo hoe told me if Smoothie King had straws i ca fuck\,1,1,0.006366404
23657,Yo bitch LOOKIN like she wana fuck summn\,1,1,0.006383394
9307,Famous women be the biggest hoes.\,1,1,0.006397323
14519,RT @AnAbsurdBird: I just realised my library books are overdue if anyone's looking for a bad bitch\,1,1,0.006436694
2825,@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP &#128165;&#128165;\,2,2,0.006439403
3869,@user il n'y pas plus cupide qu'un gauchiste. arrête de te masturber sur le racket de l'argent des autres… @url,1,1,0.006443592
19070,RT @bigshaadswerver: Yu take this money we gon throw a party on that pussy\,1,1,0.006457245
6741,"@leetreble_ quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy\",0,1,0.006476913
12692,Lets go #hoosiers #iubb &#127936; http://t.co/R6Te1dxP\,2,2,0.006604045
10041,"Hell yuhh they hit haha s/o ma nigga,\
gmula! Cheweing one takes a chug, then sniffey\",1,1,0.006604524
18887,"RT @_naptural_: ""@NoBeeetch: When you drop all your hoes for the wrong one and you gotta bring em back http://t.co/vUBKmFQyAJ"" LMFAOOOOOOO\",1,1,0.006764784
2730,@user c'est des attardé,1,1,0.006824279
18229,"RT @TransaparenT: ""Hi mom, last night I was cunt slapping when you texted me about grandpas bypass, sorry I didn't get back to you until no&#8230;\",1,1,0.006953138
16508,RT @Lamont21225_: &#128514;&#128514;&#128514; this bitch playing volleyball in Timberland's &#128553;&#128514;Edmondson Kids &#128517;&#128514; http://t.co/M4jtNGEJTH\,1,1,0.006983343
14123,People be so angry tonight on dis here tweeter. It hard for a colored man to see all dis anger. Like bein in a waffle house in Mississippi\,2,2,0.006984582
4488,@Oskzilla niggah you gay!\,1,1,0.006990518
3150,@DrewHelms21 I know right so much retard\,1,1,0.007024644
21792,"Thank you Charlie, Happy Thursday @Charlie4927 @StacyDmomof5 @PattiSM74 @Kacado @cantUCIMblonde @RevkahJC\",2,2,0.007109595
21093,Sean Kingston look like a Facebook dyke http://t.co/OxFbMRTOCs\,1,1,0.007161909
1072,&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; RT @RealityyBites: Nope Thts not wht it says here.. RT @PeachDulce: I'm not a hoe. I'm a people person http://t.co/RJ1vIx7VCz\,1,1,0.007289509
17245,"RT @Pacific_Tomb: You hoes wanna tweet and talk about equality then hope solo better never see her family again,and go to prison and never &#8230;\",1,1,0.007311246
20257,RT @paigelebeau1: It's unfortunate that everyone thinks I'm a bitch before they even meet me #chronicbitchface #sorryimscary &#128539;&#128513;\,1,1,0.007366587
1003,&#128514;&#128514;&#128514; &#8220;@snapbackBLAC: i seen a thot ass bitch in some high top whites&#8221;\,1,1,0.007485789
114,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,2,2,0.007523336
3844,@user @user @user sale arabe sale juif sale noir sale pédé... padon je suis ma… @url,1,1,0.007530216
10247,I ain't Neva care what ah bitch had to say bout me\,1,1,0.007551147
17516,RT @Rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra\,1,1,0.007585716
16023,RT @IrregularGawd: Personality RT @LosBeOnIt: How fat bitches be in relationships before the pretty women? Let's see the answers lol &#128064;&#128064;&#128064;\,1,1,0.007591632
9182,Eattin all this pussy im startin to get chubby\,1,1,0.007674053
1439,@user @user @user @user ah oui exact j...avais pas compris ton premier tweet ,2,2,0.007702494
10846,"I jus wanna smoke, rub on a bitch booty n bump ""These Days...""\",1,1,0.007713554
7370,@theshardyrebel #faggot\,0,1,0.007797929
8279,"Bitch you frooooontin, bitch you frooooontin. Lol\",1,1,0.00786731
23401,Why you talking to hoes about bro nem?! &#128548;\,1,1,0.007896731
7095,"@realDonaldTrump he looks like reg. Memphis,tn. trash! we got them everywhere.\",0,1,0.007934169
6912,"@morgantayler_ I apologize Morgan, but a bitch was blind for a whole 35 seconds!!!!\",1,1,0.007942292
18602,RT @Youss_Mayer: &#8220;@SaddyBey: Fat bitch. What's her @? http://t.co/IZGkpcqIO0&#8221;&#128557;&#128514;&#128557;&#128557;&#128557;\,1,1,0.007958113
15106,RT @CollegeBoy3000: Finally Mellie got some back bone. I might like her this season. 1976 pussy! #Scandal\,1,1,0.007968148
3233,@FRANKTHEFOB ok u hav gun. I love you and you are my superior at fighting games and you probably get more bitches too. peace &#9996;\,1,1,0.008013347
11107,I realized Tacal is a bitch\,1,1,0.008021419
15023,RT @ChicoTheWolf: #DavidPullsBitches &#8220;@davidam_23: #TweetSomethingYouGetAlot Go talk to all your other hoes&#8221;\,1,1,0.008022876
23011,We so deep in this bitch we might drown\,1,1,0.008100657
3455,@user wow j'sais pas comment tu fais mais tu fais accelerer mon coeur distance arrete ca mec jme sens toute timide la ;v;,2,2,0.008133573
2691,@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us\,1,1,0.008134267
23767,You can't put anything past a New York bitch. Or a Detroit bitch. Or a Chicago bitch.\,1,1,0.008140792
17595,"RT @SarccasmicTw: Twitter has a bird as its logo, that's why when you join you're an egg. And your home button is a birdhouse. Why am I jus&#8230;\",2,2,0.008174972
23536,Y'all wake tf up. Y'all are pussies it's summer time turn tf up!\,1,1,0.008215879
1782,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin\",0,1,0.008218994
23173,When ever you dog hoes really bad you end up w/ a girlfriend ...\,1,1,0.008256976
868,@user sale pute de féministe,1,1,0.008280192
2982,@CsSalazar15 see bro pussy changes you &#128514;&#128514;&#128557;&#128527;&#128527;\,1,1,0.008303502
12026,Im getting sleepy this water doing a bitch right\,1,1,0.008311611
8514,California is home to skater trash.\,0,1,0.008326187
1381,rt @user j'suis pas un gauchiste mais la il 100% raison. c'est inadmissible @user les poissons ont besoin de plus d'espac,1,1,0.008431288
20269,"RT @paymon_d: Legendary year. RT @1stName_Bravo: Speaking of '09, that years pussy was phenomenal.\",1,1,0.008457981
774,la  repression  au #bresil entre 1964 et 1985 fut essentiellement dirigee contre la petite-bourgeoisie #gauchiste @url,1,1,0.008483929
14116,Penn State tryna slant and screen all the way down the field lol\,2,2,0.008549671
20367,"RT @ripstephanie_: ""let my shirt go bitch it's Aeropostale wtf is wrong with you "" &#128514;&#128557;&#128514; https://t.co/xM5s5HN7tq\",1,1,0.008594611
5073,@TheJoelBerggren have you looked yourself? This is funny. This is like Obama saying he is good for the economy. Hipster faggot. Funny though\,1,1,0.008773591
16161,RT @JenetteeeM: Choke on this bitch 8=======&#128074;========D\,1,1,0.008784184
3030,@user en fait toi tu veux faire le gauchiste mais ta que des arguments de merde ,2,2,0.008794229
20785,RT @woohdakidd_74: &#8220;@Shane_A1: I'm steady hearin bout these suppose to be tuff street niccas gettin fuccd n dey ass smh gay boys&#8221;&#128561;&#128561;smh sad &#8230;\,1,1,0.008809603
5691,@ariennajanee its mutual my lil yellow bone&#127827;\,2,2,0.008902446
15148,RT @CreationOfJay: No girl sucks dick but somehow all dudes get head. Dudes only fuck bad bitches yet all these ugly girls getting pregnant&#8230;\,1,1,0.008904225
24962,someones clearly a stinky ass beaner...\,0,1,0.008991227
18978,"RT @anitaphilmar: Fairy Fun - Losing her wings doesn't mean there aren't other ways to fly? #asmsg, #erotica #shortstory http://t.co/t6LuM&#8230;\",2,2,0.009035519
7543,@xNikiaaa_ &#128557;&#128514; boa I'm trying see if that bitch was going or not . Me &amp; Vick stay agru about he don't get hoes&#128514;\,1,1,0.009116057
22738,Trust me when I say foot stomps hurt like a fucking bitch\,1,1,0.009175192
16806,RT @MetroBoomin: Coming soon on a bitch nigga!!!!! #MONSTERtape 10.28 http://t.co/03aS6BGqeC\,1,1,0.009209207
13479,"My teacher always says ""Has a man ever abused his wife while using marijuana? Not unless she hides the Oreo cookies then she deserves it.""\",2,2,0.009249729
11319,I want to go to the pumpkin patch but the love birds will make it a date and then the rest of us will be uncomfortable.\,2,2,0.009262981
14735,RT @BigxCool: RT if you're on the slope to 30 and still feel 17\,2,2,0.00926835
12108,"In the words of lil Debbie ""I'm that bitch""\",1,1,0.009272158
1317,"&#8220;@GrumpyCatTalkin: I'm sorry I offended you when I called you a bitch, I honestly thought you knew.&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;\",1,1,0.00933322
19591,RT @iDntWearCondoms: Y'all bitches got to stop pushing away the niggas who really care about y'all for these niggas who don't give a fuck\,1,1,0.009337591
378,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)\",1,1,0.0094549
5962,@damnit_mannn @RoJustDGAF not over no twitter shit. Plus youre a female. You letting a dumb sloppy body ignorant bitch speak for 13k people\,1,1,0.00952062
16877,RT @Moisessp14: Look at u now u pregnant stupid bitch lol\,0,1,0.009558726
5305,"@Wizards_DnD @JimZub tranny dragons, eh? I know some people that will love this!\",2,2,0.009570666
22898,Video: Shy Glizzy &#8211; &#8220;I Can&#8217;t Trust&#160;Myself&#8221; http://t.co/HRfuDrvZdb\,2,2,0.009605955
17178,RT @OhSnapsItsShaq: Having hoes fun till you lose that girl that you really wanted over them hoes ..\,1,1,0.00964824
7465,@vinnyywright I don't care what they is they can catch them hoes\,1,1,0.009653907
3444,@HeelsOverSneaks smh. U so retarded. Lol\,1,1,0.009988013
20588,RT @thebrandymedel: Every bitch got a nigga that she gone always fuck with. No matter what. &#128152;\,1,1,0.010129465
20540,RT @tanaka_callen: @t_ndyy awwww my niggar thank you so much sure means a lot &#9825;&#9825;\,1,1,0.010147736
24921,"shid, I thought it was legal to beat yo hoe.\",1,1,0.01015042
10331,I be waking niccas up lol\,1,1,0.010161026
4854,@SlowDollaz photoshop my nig\,1,1,0.010236211
9477,Fuck I'm such a bitch.\,1,1,0.010268787
14202,Please &#8220;@oldirtyjesus: shut up hoe &#8220;@MARlSOUL: I'm honestly a nice person&#8221;&#8221;\,1,1,0.010298192
2656,mais trop tentant de chambre le fan du mongol brésilien après cette distasterclass,1,1,0.01032206
19356,RT @duttyOGshake: for real this game is pub trash let's do drugs and get smashed\,2,2,0.010392803
23628,"Yeah, I had a bitch, but she ain't bad as you, so hit me up when you pass through\",1,1,0.010423012
23140,When I step off in da club niggas give me daps and hugs hoes swinging dey eye ik one thing right they wanna fuck\,1,1,0.010423812
3203,le sénateur pillon est contre l’avortement contre le mariage gay contre le divorce et contre les pensions aliment… @url,0,1,0.010695174
19421,"RT @femaIestweets: ""nah go talk to ur bitch since she yo crush n shit"" http://t.co/S1JAGSJW6P\",1,1,0.010726714
11063,I need a new bitch\,1,1,0.010727203
1332,&#8220;@HighClassCapri: @what_evaittakes woke up and bitches was not here lol&#8221;I wasn't angry wit my hoes&#128514;\,1,1,0.010737535
