HITId,tweet,class,class2,rand
729,attardé @url,1,1,0.013991511
1046,@user voilà que ça triche sale arabe,1,1,0.014203869
1244,meilleur que thiago messi voila c'est terminenc'est un crack le meilleur attarde du siecle c'est bien lui il est @url,2,2,0.014485407
3455,@user wow j'sais pas comment tu fais mais tu fais accelerer mon coeur distance arrete ca mec jme sens toute timide la ;v;,2,2,0.014611876
2137,@user waouh 1 abonné. je suis impressionné le mongol,1,1,0.014785424
1972,@user l'aquarius participe au traffic de clandestins et à la politique d'africanisation et d'islamisation de… @url,1,1,0.014912026
3070,tu serai pas raciste ? — du tout sans les rebeus et renois sfais chier @url,2,2,0.015289006
3981,@user n eh esse ex seu mongol,1,1,0.015625337
3317,@user @user il va finir comme les tontons rebeus qui passent leurs vies au pmu ..,1,1,0.015777016
1950,le pire j'aurais compris si c'était des renois parce que la france à plusieurs africain dans leur équipe @url,1,1,0.015863511
3705,@user @user donc en fait pour proteger les especes animales vous les condamnez l'extinction... @url,2,2,0.015968451
2964,@user islam= paix mtn je vais te refaire un speech car j’en avais déjà fait un: si y’a le *terrorisme* en fr… @url,2,2,0.015973589
54,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,1,1,0.016887255
2102,il honte d'être un africain qu'il puisse être associé aux… @url,1,1,0.016965544
3963,@user @user wowowooo je suis pas consentante déjà de un de deux tu veux juste les papiers sale arabe d: et… @url,1,1,0.016979508
537,@user @user @user baah mange pas de viande fait pas nous chier avec nos steak frite ou nos rougaille boeuf,1,1,0.017008944
4014,@user mdr c’est un mongol lui en mode lui demander de regarder,1,1,0.017137615
1132,tu trouves comment physiquement les rebeus ? pas forcément les mecs de tess — craquant de fou @url,2,2,0.01745043
2387,ce que serait la france sans les renois et les rebeus @url,1,1,0.017494111
2409,@user ah ? jsp j'ai bloque direct cmb ?,0,1,0.017587805
1889,coucou les feministes ! parlons poils ! vous voulez que chacune ait le choix de faire ce qu'iel veut de sa pilosit @url,2,2,0.017612471
2633,après va dire les renois est des sauvages la honte @url,1,1,0.017922953
391,@user brefffffffffff je m’attarde plus psq vous aller rester sur votre point de vue et moi sur le mien donc au revoir,0,1,0.018178803
2037,germain mais quel mongol,1,1,0.01836716
3890,@user seul les vrais hommes passe au dessus du fan service et s'attarde plutôt sur l'oeuvre et le message… @url,2,2,0.019039364
1102,.@user 130 femmes meurent chaque jour du fait de l’illégalité et du non accès à l’#avortement.,1,1,0.019090931
1674,@user @user l’islamisation en marche ! la pauvreté généralisée partout en france.,0,1,0.019494565
828,les pro migrants bien pensants offrent au patronat un lumpen prolétariat sur un plateau . honte à eux.,1,1,0.01993868
2227,@user la 1ère étape du négationnisme est de ne pas prononcer le mot islam. il s'agit pourtant de #terrorisme… @url,1,1,0.020937103
2979,@user en anthropologie caucasiens et arabes ont longtemps été indifférencié. vous le vivez pas bien d'avoir é… @url,1,1,0.021369655
33,@user pour ou contre l'avortement ?,2,2,0.021384314
774,la  repression  au #bresil entre 1964 et 1985 fut essentiellement dirigee contre la petite-bourgeoisie #gauchiste @url,1,1,0.021692947
1671,@user @user @user @user mdr bac option attardé !,1,1,0.021792996
1092,@user ça va mongol,1,1,0.021889623
610,@user @user @user mais du coup c'est juste lui qui est ridicule parce qu'on le prend tous pour un attardé..,1,1,0.022234838
3045,intelligence d'un ado attardé !!! @url,2,2,0.02252933
1944,joue bien au lieu de faire la star et de mettre du vert sal mongol @url,1,1,0.022725589
939,@user @user @user @user @user moi bobo gauchiste?!!  pauvre dame vous e... @url,1,1,0.023823503
868,@user sale pute de féministe,1,1,0.023905001
3392,@user @user @user @user @user fort loin d'etre gauchiste je continuerai ne vous en de… @url,2,2,0.02421824
3286,@user tu eh mongol,1,1,0.024227197
2499,c'est ce gauchiste de sotto qui mène le débat?? Ça promet... @url,1,1,0.024248658
1647,@user @user mdrrr je reconnais étais que deux rebeus dans classes et tout nos profs nous con… @url,2,2,0.024494709
218,@user @user tu é mongol,1,1,0.024543881
187,@user @user 2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par... @url,2,2,0.024565548
164,@user @user t'est matrixé ou juste attardé gros fdp?,1,1,0.024583725
2407,nous les renois tu nous dis juste un truc qu'il nous plait pas va te raconter toutes l'histoire de la france.,2,2,0.025033597
1176,dès lsbah lillah un sale arabe casse les couilles en allant prendre le métroooooooo,1,1,0.025454497
3486,@user @user @user et bien parlons maintenant des pays arabes ou du maghreb avec leurs valeurs musul… @url,2,2,0.025630541
2245,ptdrrr beurk les rebeus de service comme ça la beurk beurk beurk @url,1,1,0.025966307
1560,@user @user @user @user qu’est ce que tu racontes mongol change tes lunettes e… @url,1,1,0.026054901
2853,pourquoi les gauchistes sont féministe et lgbt ou pro lgbt mais veulent acceuillir et intégrer l'islam dans toutes… @url,2,2,0.026071502
3100,@user encore une attitude de bobo gauchiste ..,0,1,0.0266631
2279,l’attarde du coin @url,1,1,0.026874007
3853,@user ils le prennent pour un attardé ou quoi ptdr,2,2,0.026875001
167,faut vraiment être un attardé mentale pour dire le projet de post malone c’est l’album de l’année,1,1,0.027383645
1424,pour ou contre l'avortement quand moins de 10 ans? — mwjxkwkx wsh jespere c toi gaetan sinon bah bon courage m… @url,1,1,0.028468225
375,@user @user @user @user @user @user avec ta bénédiction cher gauchiste #lrem … @url,2,2,0.028486721
328,@user @user att. un mongol @url,1,1,0.028705122
347,dans l’extrait y’a lacrim il cri comme un mongol crois il le flow de 69 ptn @url,1,1,0.028748214
2603,@user @user regarde moi c’est les reubeux d’autres c’est les renois par contre blanc jsp mais ça dépend grave des meufs,2,2,0.028856559
691,@user @user @user ah non trql j’ai cru lire sale juif,1,1,0.028990517
829,@user y’a des tweets qui mérite pas de réponse aussi mongol mais avec la connerie que t’as dites là y’en fallait une,1,1,0.029248363
858,@user mdrrr était juste à côté rien entendu un attardé ce mec @url,1,1,0.02925169
1154,par de mongol.... @url,1,1,0.029341493
2752,moix c'est un anti tout pro rien une sorte d'ado très attardé enfin pas fini quoi insupportable @url,1,1,0.029514536
3035,un petit con comme ça qui se prend pour un grand joueur il fait honte aux renois. pff @url,1,1,0.029643271
3458,@user @user @user @user bon comme j’imagine que t’es une ptn de feministe lgbt pour changer… @url,1,1,0.030513527
936,même en étant gauchiste pro migrants j'aurais baillé en lisant c…,2,2,0.030566873
2184,sai ciume mongol,0,1,0.030669276
2463,naza mongol te po na banda ko seka seka kk boyer sans lucratif,0,1,0.031662602
2069,@user @user @user @user lol la bonne vielle tactique gauchiste! répondre par une questi… @url,2,2,0.031905693
624,@user @user ecoute moi sale fils de pute parles bien déjà espèce d'attardé mental que jai agi ou pas ça… @url,1,1,0.031936521
1753,@user @user ce faire de l’argent grâce aux souffrances des autres c’est typiquement gauchiste..,2,2,0.031943444
3523,@user @user mais pauvre attardé de l'humour peut en faire sur n'importe quels supports évidemment que… @url,1,1,0.032166903
1870,#fiapac ceux qui luttent contre un avortement sûr et légal revendiquent souvent l’exclusivité du discours sur la mo… @url,1,1,0.032611588
3803,@user @user @user les statistiques ethnique dementirez aisement ce temoignage d'une gauchiste dt l'i... @url,2,2,0.033908245
1272,@user jsuis mort enft même si ya qlq cas isolés dans leur tete des que croises des rebeus dans la rue tu te fa… @url,2,2,0.034255097
1203,en plus elle est de sotteville cette attardé mental @url,1,1,0.034417507
1368,@user @user @user @user @user parle d'un constat. c'est fait . essaie d'analyser… @url,2,2,0.03478126
1984,@user @user justement nous les rebeus ont en marre des ces blancs qui nous défendent nous souti… @url,1,1,0.034803834
3005,tu es pour ou contre l'avortement ? — c'est difficile comme question... si la femme est enceinte je suis pour par… @url,1,1,0.035129145
1447,@user @user @user vs etes mongol au point de pas savoir brancher un ordi en hdmi sur une tv ?,1,1,0.035429822
1946,@user hier je parlais avec un ami gauchiste français je lui ai dit que nous les marocain la différence avec… @url,2,2,0.035599741
976,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de…,2,2,0.035715969
2267,@user @user il y’a aussi l’attardé d’ado den haag dans la sauce.,1,1,0.035921954
1776,eh j’suis mort les renois sur ce réseau même pas ça s’appelle par leur blaze @url,1,1,0.036150984
441,@user sachant que toute la symbolique antisémite et complotiste est présente.,1,1,0.036202211
1621,@user bah s'ils disent qu'ils ne sont pas français ce sont donc des migrants ? il faut donc les expulser !,0,1,0.036214236
3552,@user si t'as des photos du mongol avec la pancarte son (moi) je les veux bien ❤,1,1,0.036303905
698,des renois ici au lieu de dire clairement qu’ils sont racistes ils préfèrent dire de la sur les autres nation… @url,1,1,0.036452518
2488,@user @user faut dire que la derniere fois qu'il est sorti dans la rue un gauchiste l'a poignarde,1,1,0.036703217
2202,@user bon anniversaire sale juif jtm .,1,1,0.03721268
2782,intello mongol pouilleux crasseux lesbienne les insultes des ados etc....,1,1,0.038195386
3846,@user @user @user nonsense!,2,2,0.038291543
1295,demain tu dis un asiat ching chong tu crois qu'a… @url,1,1,0.038338873
907,@user pourquoi y'a un mongol dans l'armée du 3eme reich ??,1,1,0.03856086
366,y’a des gens je les aime bien puis après j’apprends qu’ils sont homophobes contre l’avortement et racistes très bien,2,2,0.038604187
3869,@user il n'y pas plus cupide qu'un gauchiste. arrête de te masturber sur le racket de l'argent des autres… @url,1,1,0.039025551
3377,@user @user les féministes sont les idiots utiles de causes qui les dépassent. leurs donneurs… @url,1,1,0.03912958
1090,je crois qu'aurélien taché est en train de passer du statut de gauchiste à celui de vraie ordure. juste un mauvais… @url,1,1,0.039259678
656,passe du terrorisme islamiste au terrorisme musulman entendu à l'instant sur @user de la bouche de… @url,1,1,0.039772448
1982,@user mais c’est un attardé ce con.,1,1,0.040590933
2468,«nous aurons entre 200 millions et 1 milliard de réfugiés climatiques dans 30 ans…que voulez vous qu'il se passe…»… @url,1,1,0.040634193
1925,@user complètement débile comme raisonnement l’islam ne tolère pas le terrorisme informez vous un minimum ava… @url,1,1,0.040870222
1991,@user « tant de noirs ne réalisent pas à quel point l’immigration est dangereuse pour l’europe et vide l’afrique de ses forces. » moi,0,1,0.041140709
3094,@user que fatiguer pr rien toi sale attarde,1,1,0.041326929
2039,@user @user mais te formé sur le tat gros mongol sort de chez toi wesh,1,1,0.041502458
2033,@user mais biensur que oui mongol,1,1,0.04195431
3943,@user il est complètement mongol mais si mignon,1,1,0.041961327
3437,@user et les rebeus haineux des renois ça existe que tu le veuilles ou pas. jv pas nier ça pr toi,2,2,0.042086077
3954,@user @user sale arabe ???? et toi t'es quoi ?,1,1,0.042451258
517,@user perso j'le suis mais j'pense pas que ce soit worth dans cette société d'attardé,2,2,0.042707266
2872,magique la réponse du « journaliste » @user pris en flagrant délit de militantisme gauchiste ! @url,1,1,0.043266676
3549,@user jpense il s’y est pas attardé bc ça aurait pas intéressé grand monde (jcoco très peu de gens qui se pose… @url,2,2,0.043356496
1839,ya que les renois et les rebeux pr faire des coupes à prix abordables tu vas chez « chris coiffure » tu payes 25bal… @url,2,2,0.043769245
798,rt @user @user @user un adepte du lieu commun gauchiste,1,1,0.043817993
932,@user oue ils sont tous attarde miskine,1,1,0.044272662
1779,@user arabe de service comme juif de service ou negre de service! j'apprends que les filets sociaux ne serven @url,1,1,0.045171349
3888,@user @user comme ça tu pourra dire c cause des renois allez bsx,2,2,0.045247199
2040,@user ferme la gros mongol retourne tweeter de la merde,1,1,0.045567162
639,À vintimille comment faire preuve de solidarité avec les migrants sans se faire expulser de la ville @url,1,1,0.04589779
1438,#hdespros @user vient sur votre plateau comme tout gauchiste qui veut imposer son discours. ils font de… @url,0,1,0.046580822
2390,@user @user mais c’est toi tu mentionne mongol,1,1,0.04668581
916,@user @user donc.. dénoncer une fake news c'est faire du militantisme gauchiste..,1,1,0.047091952
3121,rt @user @user @user @user allo???? alloooo???? les gauchistes?????nje vous recois mal....nallooooo?nmerde ch,1,1,0.047221784
3764,@user laissez les gamins s'habiller comme ils le souhaitent merde. gérez le harcèlement ou la baisse du nivea… @url,1,1,0.047779096
3709,@user @user les noirs n’aiment pas les chien en général les arabes c’est très rare les chinois égaleme… @url,0,1,0.047867123
3298,@user @user pourquoi que ce mongol apparaît sur mon twitter? c'est tu un gars payé 300$ de l'heur… @url,1,1,0.048420774
427,découvrez solidarité des femmes burundaises au #burundi. l'association se bat contre les #violencessexuelles de… @url,2,2,0.048511079
2164,@user @user donc elle est nee de l'insinste je comprend pouquoi elle ressemble un mongol,1,1,0.048966399
2642,@user @user les renois pourquoi vous courrez quand vous rigolez,1,1,0.049179371
1346,en #tunisie terre #arabe et #musulmane le prénom est légalement un enjeu identitaire et culturel. où sont les cris… @url,2,2,0.049192128
1190,rt @user quand demande un gauchiste d'argumenter  @url,1,1,0.049811667
3517,@user @user @user non mais le gauchiste est très long dans la compromette...,2,2,0.050231986
430,@user @user ca c est malade j en ai ri un esti de coup commentaire de mongol lol,1,1,0.050665785
623,@user ce sale arabe connor c'est son père dirait.... je vais le lyncher sur son curious cat de ce pas comme un brave.,1,1,0.050816057
662,@user @user j'aime pas les rebeus,2,2,0.050958042
171,@user @user merde aux juifsmerde aux arabesmerdes aux blancs aux noirs.nous sommes des humains un point c est tout !,2,2,0.051205414
1711,@user @user pourquoi des pays très riches comme l'arabie saoudite le qatar les Émirats arabes etc. ne le… @url,2,2,0.051268707
3578,@user manque plus que l'autre attardé de saotao et t'as le trio magique,1,1,0.051302001
116,le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo… @url,0,1,0.051697944
1280,les vegans sont-ils contre l'avortement ?,0,1,0.051968451
158,non mais c'est quoi ce mongol macron il vit dans quel monde,1,1,0.052040089
29,rt @user c'est con un gauchiste quand meme !!! @url,1,1,0.052103819
625,ptn même dans les lives elle est mauvaise aigrie et condescendante et le phacochere acquiesce comme un mongol #mavachou,1,1,0.052311055
1955,je fais du stop 22h je retrouve entre 4 renois fumer du shit,1,1,0.052517884
298,confÉrence – tintin dans les pays arabes @url,2,2,0.052531447
3019,@user il est temps de renvoyer l'afrique,1,1,0.052804391
541,rt @user @user @user @user @user je suis une gauchiste libertaire et catholique pas tres orthodoxe,0,1,0.053415037
823,@user @user ou la la qu'elle dangereuse gauchiste lol ,2,2,0.053809984
2494,insupportables les rebeus pr ca @url,2,2,0.054539411
1999,@user c’est toi qui traite de mongol avec ta tête filtre snapchat,1,1,0.05514597
3275,@user @user je ne renie pas ce que je suis je mange de tout. je mangerai bien du gauchiste bobo mais j'ai… @url,0,1,0.055752336
3614,@user @user @user @user j’ai absolument pas lu ce que t’a dis et jvais perdre du temps pour un d… @url,2,2,0.055758191
3698,@user les gens se sentent tous visés ! c’est une secte alors ? comme les blacks les arabes les instits...,2,2,0.055763666
2982,ce journal est un torchon @user comment donner la parole ce gauchiste de @user qui ne respecte pas l @url,1,1,0.055985305
3988,@user ils ont fuit l’espagne ils se sont réfugiés en algérie mais quand les français sont arrivés ils so… @url,2,2,0.056008827
2302,@user sale arabe arrête d'envahir nos pays violer nos filles et voler notre travaille !,0,1,0.056206573
2490,et y’a certains gars renois qui ont aimé son tweet bande de suceurs ptdr,1,1,0.056435861
1172,@user @user d'accord le gauchiste.,2,2,0.056963103
2543,hébergement des migrants à nantes: «il était grand temps d'intervenir» es… @url,1,1,0.057089493
2458,@user comment débattre entre gauchiste sans aucune contradiction,1,1,0.057365995
2966,@user @user es un sacré mongol @url,1,1,0.057424849
1967,@user et un qatariennes qui pleure sniff les juifs nous veulent du mal encore un complotiste de mes 2,1,1,0.057976743
3072,attardé du cœur,2,2,0.058343554
1429,une renois tu peux pas lui dire tu l'aime bien ou tu la trouve belle psk sinon dans sa tête elle va croire ces bey… @url,0,1,0.058370989
835,@user des bots porn serement,1,1,0.058571859
1931,@user rafinha c'est un putain de mongol,1,1,0.058624677
456,tripper le mongol,1,1,0.059046712
3665,@user @user @user toutes les femmes catholiques sont contre l'avortement.,2,2,0.05912294
2029,que je l'aime ce mongol,1,1,0.059661407
2132,voilà qui démontre bien l'hypocrisie de la gauche... pas plus haineux et violent qu'un gauchiste extrémiste! @url,2,2,0.060039707
1505,j'crois vraiment je suis le seul mongol regarder @user et @user en double fênetre sur un petit écran d… @url,1,1,0.060361991
2385,joshua par k.o mais le russe il était sale chaud !!! #joshuapovetkin #boxe,1,1,0.061082683
1147,vous voyez c'est ce qu'on appel communément un mongol. un vrai. incapable d'utiliser son cerveau et de lire correc… @url,1,1,0.061149325
202,@user les sunnites autorisent meurtrespédophiliepolygamie violence contre les femmes etc.tous les pays… @url,0,1,0.061326837
1297,@user @user quel mongol ce mec,1,1,0.061369926
2791,@user sale mongol dans 10 ans ça sera le feu quand tu seras au rsa mdr,1,1,0.061796654
1057,de la violence à la haine la démocratie brésilienne en danger @url,1,1,0.062474072
1333,@user ptddrr aym t'rappel du renois qui voulait nous vendre des faux. il s'appelait martine le batard @url,2,2,0.063054583
3975,@user @user pas en le mettant remplaçant bande de mongol,1,1,0.063057897
2239,@user @user dit l...attarde en question que dieu te pardonne cher ami que dieu te pardonne,2,2,0.063151534
3914,@user @user j'ai toujours eu et payé mes factures dans le ''93.(93110). sors ça d'ou ce mongol mythoman ???,1,1,0.063356068
3872,@user je ne comprend pasles antispecistes sont contre l'avortement ou pas.,1,1,0.063709053
1322,top : @user 'bienvenue à #cergy où des migrants africains complètement nus agressent sauvagement les français… @url,0,1,0.063925403
1978,le mongol de la semaine qui ne sait pas que la police obéit au ministre de l'intérieur et son pseudo président ! qu… @url,1,1,0.064638189
2668,comment j’ai pas envie de voir classe de merde j’avais déjà oublié leur tête d’attardé.,1,1,0.065373171
226,wallah nous au cinéma un rebeu crier tous le monde répondu : oh ferme ta gueuke va te niker apres il s’est e… @url,1,1,0.065867939
884,les renois comme ça vener @url,1,1,0.065919264
23,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,1,1,0.065992108
1829,les rebeus qui s’offusquent de ce que dit zemmour et qui ont du mal avec les membres de leur famille qui donne des… @url,1,1,0.066778297
10,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,1,1,0.066997602
1351,@user c clair. ils veulent être rebeus ou renois pour réussir à pécho des meufs mais pour le reste ils s… @url,0,1,0.067053123
2845,pfff c'est dingue le nombre de meuf blanche qui se font fourrer par des renois qui font du foot. vazi c'est quoi vo… @url,2,2,0.067120977
697,y’a que des rebeus chez moi mon appart c’est pôle emploi,1,1,0.067158874
3906,vos musique de pedale gauchiste dont aucune maison de disque ne veut.,1,1,0.067242399
2800,#féminisme #violence,1,1,0.067314327
2734,en pologne il un parti populiste le pis au pouvoir; ce parti refuse l'islamisation mais à la différence des… @url,2,2,0.067470675
2098,rt @user voila ou mene le paternalisme gauchiste. le racisme inverse est tellement malsain c'est hallucinant @url,1,1,0.067535872
2424,recommence frere tas aucun argument jusqu’à t’invente asy ftg toujours le meme refrain sur les cheveux les rebeus v… @url,1,1,0.067757044
1907,@user allume le chauffage sale juif,1,1,0.068271507
3812,@user mlq mongol porra,1,1,0.068375041
1524,@user les anti vaccins se nourrissent de la tentation #complotiste en jouant sur,2,2,0.068558837
2805,@user À moins d’un sursaut l'allemagne est cuite et prête pour la dernière étape de son islamisation »environ 12… @url,1,1,0.068758633
1441,@user @user je ne suis absolument pas contre l’avortement mais je suis surtout pour les contrace… @url,2,2,0.068818571
1742,porra lennon seu mongol,2,2,0.069141039
680,#immigration #islam quand les clans arabes font la loi en allemagne. tant de laxisme fait vomir. lire. @url,0,1,0.069326237
1080,les fdp qui ont mit le feux aux esserts faut vrm etre attardé pour faire ça,1,1,0.069451675
434,@user @user @user @user gneugneugneu qatar pognon arabes barbus enturbanés qsg terroristes. change de disque,1,1,0.069551296
1022,lignes quotidiennes par akram belkaïd: polémique autour des prénoms arabes rien de nouveau sous le soleil... (iht… @url,2,2,0.069700637
832,@user sos racisme est une bande de dégénérés bobo gauchiste de première,1,1,0.070399452
846,les rebeu &amp; les renois non parents quand il part au supermarché il cherche à acheter que des moins cher et nous les… @url,1,1,0.071019281
2710,les renois déjà je vous aime trop ensuite jsp c’est vraiment au feeling @url,2,2,0.071065866
3706,@user @user @user merde husseyn j’voulais pas te mentionner toi sale arabe,1,1,0.071111281
43,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url,2,2,0.071201289
